"商品编码"	,"商品名称"	,"年份"	,"第一计量单位编码"	,"第一计量单位名称"	,"第二计量单位编码"	,"第二计量单位名称"	,
37032010	,"其他彩色摄影用感光纸及纸板"	,2022	,09	,"千克"	,?	,"?"	,
37032090	,"其他彩色摄影用感光纺织物"	,2022	,09	,"千克"	,?	,"?"	,
37039010	,"其他非彩色摄影用感光纸及纸板"	,2022	,09	,"千克"	,?	,"?"	,
37039090	,"其他非彩色摄影用感光纺织物"	,2022	,09	,"千克"	,?	,"?"	,
37040010	,"已曝光未冲洗的电影胶片"	,2022	,09	,"千克"	,?	,"?"	,
37040090	,"其他已曝光未冲洗的摄影硬片、软片、纸等"	,2022	,09	,"千克"	,?	,"?"	,
37050010	,"已曝光已冲洗的教学专用幻灯片"	,2022	,09	,"千克"	,?	,"?"	,
37050021	,"已曝光已冲洗的书籍、报刊缩微胶片"	,2022	,09	,"千克"	,?	,"?"	,
37050029	,"其他已曝光已冲洗的缩微胶片"	,2022	,09	,"千克"	,?	,"?"	,
37050090	,"其他已曝光已冲洗的摄影硬片及软片，但电影胶片除外"	,2022	,09	,"千克"	,?	,"?"	,
37061010	,"教学专用已曝光已冲洗的电影胶片，宽≥35mm"	,2022	,09	,"千克"	,04	,"米"	,
37061090	,"其他已曝光已冲洗的电影胶片，宽≥35mm"	,2022	,09	,"千克"	,04	,"米"	,
37069010	,"教学专用已曝光已冲洗的电影胶片，宽＜35mm"	,2022	,09	,"千克"	,04	,"米"	,
37069090	,"其他已曝光已冲洗的电影胶片，宽＜35mm"	,2022	,09	,"千克"	,04	,"米"	,
37071000	,"感光乳液"	,2022	,09	,"千克"	,?	,"?"	,
37079010	,"冲洗照相胶卷及相片用化学制剂"	,2022	,09	,"千克"	,?	,"?"	,
37079020	,"复印机用化学制剂"	,2022	,09	,"千克"	,?	,"?"	,
37079090	,"未列名摄影用化学制剂；摄影用未混合产品"	,2022	,09	,"千克"	,?	,"?"	,
38011000	,"人造石墨"	,2022	,09	,"千克"	,?	,"?"	,
38012000	,"胶态或半胶态石墨"	,2022	,09	,"千克"	,?	,"?"	,
38013000	,"电极用碳糊及炉衬用的类似糊"	,2022	,09	,"千克"	,?	,"?"	,
38019010	,"表面处理的球化石墨"	,2022	,09	,"千克"	,?	,"?"	,
38019090	,"未列名以石墨或其他碳为基本成分的糊状、块状、板状制品或其他半制品"	,2022	,09	,"千克"	,?	,"?"	,
38021010	,"木质活性碳"	,2022	,09	,"千克"	,?	,"?"	,
38021090	,"其他活性碳"	,2022	,09	,"千克"	,?	,"?"	,
38029000	,"活性天然矿产品；动物炭黑，包括废动物炭黑"	,2022	,09	,"千克"	,?	,"?"	,
38030000	,"妥尔油，不论是否精炼"	,2022	,09	,"千克"	,?	,"?"	,
38040000	,"木桨残余碱液"	,2022	,09	,"千克"	,?	,"?"	,
38051000	,"脂松节油、木松节油和硫酸盐松节油"	,2022	,09	,"千克"	,?	,"?"	,
38059010	,"以α萜品醇为基本成分的松油"	,2022	,09	,"千克"	,?	,"?"	,
38059090	,"其他萜烯油及粗制二聚戊烯和对异丙基苯甲烷"	,2022	,09	,"千克"	,?	,"?"	,
38061010	,"松香"	,2022	,09	,"千克"	,?	,"?"	,
38061020	,"树脂酸"	,2022	,09	,"千克"	,?	,"?"	,
38062010	,"松香盐及树脂酸盐"	,2022	,09	,"千克"	,?	,"?"	,
38062090	,"松香或树脂酸衍生物的盐"	,2022	,09	,"千克"	,?	,"?"	,
38063000	,"酯胶"	,2022	,09	,"千克"	,?	,"?"	,
38069000	,"其他松香和树脂酸衍生物；松香精及松香油等"	,2022	,09	,"千克"	,?	,"?"	,
38070000	,"木焦油；木杂酚油；粗木精；植物沥青等"	,2022	,09	,"千克"	,?	,"?"	,
38085200	,"DDT（ISO）[滴滴涕（INN）], 每包净重不超过300克"	,2022	,09	,"千克"	,?	,"?"	,
38085920	,"零售包装的本章子目注释1所列的其他货品"	,2022	,09	,"千克"	,?	,"?"	,
38085990	,"非零售包装的本章子目注释1所列的其他货品"	,2022	,09	,"千克"	,?	,"?"	,
38086100	,"每包净重不超过300克的本章子目注释2所列货品"	,2022	,09	,"千克"	,?	,"?"	,
38086200	,"每包净重超过300克，但不超过7.5千克的本章子目注释2所列货品"	,2022	,09	,"千克"	,?	,"?"	,
38086900	,"每包净重超过7.5千克的本章子目注释2所列货品"	,2022	,09	,"千克"	,?	,"?"	,
38089111	,"零售包装蚊香"	,2022	,09	,"千克"	,?	,"?"	,
38089112	,"零售包装生物杀虫剂"	,2022	,09	,"千克"	,?	,"?"	,
38089119	,"其他零售包装的杀虫剂"	,2022	,09	,"千克"	,?	,"?"	,
38089190	,"非零售包装的杀虫剂"	,2022	,09	,"千克"	,?	,"?"	,
38089210	,"零售包装杀菌剂"	,2022	,09	,"千克"	,?	,"?"	,
38089290	,"非零售包装的杀菌剂"	,2022	,09	,"千克"	,?	,"?"	,
38089311	,"零售包装除草剂"	,2022	,09	,"千克"	,?	,"?"	,
38089319	,"非零售包装除草剂"	,2022	,09	,"千克"	,?	,"?"	,
38089391	,"零售包装抗萌剂及植物生长调节剂"	,2022	,09	,"千克"	,?	,"?"	,
38089399	,"非零售包装抗萌剂及植物生长调节剂"	,2022	,09	,"千克"	,?	,"?"	,
38089400	,"消毒剂"	,2022	,09	,"千克"	,?	,"?"	,
38089910	,"零售包装的本品目所列其他货品及类似产品"	,2022	,09	,"千克"	,?	,"?"	,
38089990	,"非零售包装的本品目所列其他货品及类似产品"	,2022	,09	,"千克"	,?	,"?"	,
38091000	,"纺织、造纸、制革等工业用淀粉物质整理剂等"	,2022	,09	,"千克"	,?	,"?"	,
38099100	,"纺织等工业用的其他整理剂、助剂等制剂"	,2022	,09	,"千克"	,?	,"?"	,
38099200	,"造纸等工业用的其他整理剂、助剂等制剂"	,2022	,09	,"千克"	,?	,"?"	,
38099300	,"制革等工业用的其他整理剂、助剂等制剂"	,2022	,09	,"千克"	,?	,"?"	,
38101000	,"金属表面酸洗剂；金属等材料制焊粉或焊膏"	,2022	,09	,"千克"	,?	,"?"	,
38109000	,"焊接辅助剂；作焊条芯子或焊条涂料用的制品"	,2022	,09	,"千克"	,?	,"?"	,
38111100	,"以铅化合物为基本成分的抗震剂"	,2022	,09	,"千克"	,?	,"?"	,
38111900	,"其他抗震剂"	,2022	,09	,"千克"	,?	,"?"	,
38112100	,"含石油或从沥青矿物提取油类的润滑油添加剂"	,2022	,09	,"千克"	,?	,"?"	,
38112900	,"其他润滑油添加剂"	,2022	,09	,"千克"	,?	,"?"	,
38119000	,"其他供矿物油等同样用途液体的配制添加剂"	,2022	,09	,"千克"	,?	,"?"	,
38121000	,"配制的橡胶促进剂"	,2022	,09	,"千克"	,?	,"?"	,
38122000	,"橡胶或塑料用复合增塑剂"	,2022	,09	,"千克"	,?	,"?"	,
38123100	,"2,2,4-三甲基-1,2-二氢化喹啉（TMQ）低聚体混合物"	,2022	,09	,"千克"	,?	,"?"	,
38123910	,"其他橡胶防老剂"	,2022	,09	,"千克"	,?	,"?"	,
38123990	,"未列名橡胶或塑料用抗氧制剂及复合稳定剂"	,2022	,09	,"千克"	,?	,"?"	,
38130010	,"灭火器的装配药"	,2022	,09	,"千克"	,?	,"?"	,
38130020	,"已装药的灭火弹"	,2022	,09	,"千克"	,?	,"?"	,
38140000	,"未列名的有机复合溶剂及稀释剂；除漆剂"	,2022	,09	,"千克"	,?	,"?"	,
38151100	,"以镍及其化合物为活性物的载体催化剂"	,2022	,09	,"千克"	,?	,"?"	,
38151200	,"以贵金属及其化合物为活性物的载体催化剂"	,2022	,09	,"千克"	,?	,"?"	,
38151900	,"其他载体催化剂"	,2022	,09	,"千克"	,?	,"?"	,
38159000	,"未列名的反应引发剂、反应促进剂、催化剂"	,2022	,09	,"千克"	,?	,"?"	,
38160010	,"夯混白云石"	,2022	,09	,"千克"	,?	,"?"	,
38160020	,"耐火的水泥、灰泥、混凝土等耐火混合制品"	,2022	,09	,"千克"	,?	,"?"	,
38170000	,"混合烷基苯及混合烷基萘"	,2022	,09	,"千克"	,?	,"?"	,
38180011	,"7.5cm≤直径≤15.24cm的单晶硅切片"	,2022	,09	,"千克"	,01	,"片"	,
38180019	,"直径＞15.24cm的单晶硅切片"	,2022	,09	,"千克"	,01	,"片"	,
38180090	,"其他经掺杂用于电子工业的已切片化学元素等"	,2022	,09	,"千克"	,?	,"?"	,
38190000	,"闸用液压油等液压传动用液体，含油量＜70％"	,2022	,09	,"千克"	,?	,"?"	,
38200000	,"防冻剂及解冻剂"	,2022	,09	,"千克"	,?	,"?"	,
38210000	,"制成的微生物或植物、人体、动物细胞培养基"	,2022	,09	,"千克"	,?	,"?"	,
38221100	,"疟疾用附于衬背上的诊断或实验用试剂"	,2022	,09	,"千克"	,?	,"?"	,
38221200	,"寨卡病毒及由伊蚊属蚊子传播的其他疾病用附于衬背上的诊断或实验用试剂"	,2022	,09	,"千克"	,?	,"?"	,
38221300	,"血型鉴定用附于衬背上的诊断或实验用试剂"	,2022	,09	,"千克"	,?	,"?"	,
38221900	,"其他附于衬背上的诊断或实验用试剂及不论是否附于衬背上的配制试剂"	,2022	,09	,"千克"	,?	,"?"	,
38229000	,"有证标准样品"	,2022	,09	,"千克"	,?	,"?"	,
38231100	,"硬脂酸"	,2022	,09	,"千克"	,?	,"?"	,
38231200	,"油酸"	,2022	,09	,"千克"	,?	,"?"	,
38231300	,"妥尔油脂肪酸"	,2022	,09	,"千克"	,?	,"?"	,
38231900	,"其他工业用单羧脂肪酸；精炼所得酸性油"	,2022	,09	,"千克"	,?	,"?"	,
38237000	,"工业用脂肪醇"	,2022	,09	,"千克"	,?	,"?"	,
38241000	,"铸模及铸芯用粘合剂"	,2022	,09	,"千克"	,?	,"?"	,
38243000	,"自身或与金属粘合剂混合未烧结金属碳化物"	,2022	,09	,"千克"	,?	,"?"	,
38244010	,"高效减水剂"	,2022	,09	,"千克"	,?	,"?"	,
38244090	,"其他水泥、灰泥及混凝土用添加剂"	,2022	,09	,"千克"	,?	,"?"	,
38245000	,"非耐火的灰泥及混凝土"	,2022	,09	,"千克"	,?	,"?"	,
38246000	,"编码2905.4400以外的山梨醇"	,2022	,09	,"千克"	,?	,"?"	,
38248100	,"含环氧乙烷（氧化乙烯）的混合物及制品"	,2022	,09	,"千克"	,?	,"?"	,
38248200	,"含多氯联苯、多氯三联苯或多溴联苯的制品"	,2022	,09	,"千克"	,?	,"?"	,
38248300	,"含三（2，3-二溴丙基）磷酸酯混合物及制品"	,2022	,09	,"千克"	,?	,"?"	,
38248400	,"含艾氏剂（ISO）、毒杀芬（ISO）、氯丹（ISO）、十氯酮（ISO）、DDT（ISO）[滴滴涕（INN）、1,1,1三氯2,2双（4氯苯基）乙烷]、狄氏剂（ISO，INN）、硫丹（ISO）、异狄氏剂（ISO）、七氯（ISO）或灭蚁灵（ISO）的混合物及制品"	,2022	,09	,"千克"	,?	,"?"	,
38248500	,"含1,2,3,4,5,6六-氯环己烷[六六六（ISO）]，包括林丹（ISO，INN）的混合物及制品"	,2022	,09	,"千克"	,?	,"?"	,
38248600	,"含五氯苯（ISO）或六氯苯（ISO）的混合物及制品"	,2022	,09	,"千克"	,?	,"?"	,
38248700	,"含全氟辛基磺酸及其盐，全氟辛基磺胺或全氟辛基磺酰氯的混合物及制品"	,2022	,09	,"千克"	,?	,"?"	,
38248800	,"含四、五、六、七或八溴联苯醚的混合物及制品"	,2022	,09	,"千克"	,?	,"?"	,
38248900	,"含短链氯化石蜡的混合物及制品"	,2022	,09	,"千克"	,?	,"?"	,
38249100	,"主要由(5-乙基-2-甲基-2氧代-1,3,2-二氧磷杂环己-5-基)甲基膦酸二甲酯和双[(5-乙基-2-甲基-2氧代-1,3,2-二氧磷杂环己-5-基)甲基]甲基膦酸酯（阻燃剂 FRC-1）组成的混合物及制品"	,2022	,09	,"千克"	,?	,"?"	,
38249200	,"甲基膦酸聚乙二醇酯"	,2022	,09	,"千克"	,?	,"?"	,
38249910	,"杂醇油"	,2022	,09	,"千克"	,?	,"?"	,
38249920	,"除墨剂、蜡纸改正液及类似品"	,2022	,09	,"千克"	,?	,"?"	,
38249930	,"增炭剂"	,2022	,09	,"千克"	,?	,"?"	,
38249991	,"按重量计含滑石50%以上的混合物"	,2022	,09	,"千克"	,?	,"?"	,
38249992	,"按重量计含氧化镁70%以上的混合物"	,2022	,09	,"千克"	,?	,"?"	,
38249993	,"表面包覆钴化物的氢氧化镍（掺杂碳）"	,2022	,09	,"千克"	,?	,"?"	,
38249999	,"未列名化学工业及其相关工业的化学产品及配制品"	,2022	,09	,"千克"	,?	,"?"	,
38251000	,"城市垃圾"	,2022	,09	,"千克"	,?	,"?"	,
38252000	,"下水道淤泥"	,2022	,09	,"千克"	,?	,"?"	,
38253000	,"医疗废物"	,2022	,09	,"千克"	,?	,"?"	,
38254100	,"卤化物的废有机溶剂"	,2022	,09	,"千克"	,?	,"?"	,
38254900	,"其他废有机溶剂"	,2022	,09	,"千克"	,?	,"?"	,
38255000	,"废的金属酸洗液、液压油、制动油及防冻液"	,2022	,09	,"千克"	,?	,"?"	,
38256100	,"主要含有机成分的化学工业及相关工业的废物"	,2022	,09	,"千克"	,?	,"?"	,
38256900	,"未列名化学工业及相关工业的废物"	,2022	,09	,"千克"	,?	,"?"	,
38259000	,"其他品目未列名的化学工业及其相关工业的副产品"	,2022	,09	,"千克"	,?	,"?"	,
38260000	,"生物柴油及其混合物，不含或含有按重量计低于70％的石油或从沥青矿物提取的油类"	,2022	,09	,"千克"	,07	,"升"	,
38271100	,"含全氯氟烃（CFCs）的混合物，不论是否含氢氯氟烃（HCFCs）、全氟烃（PFCs）或氢氟烃（HFCs）"	,2022	,09	,"千克"	,?	,"?"	,
38271200	,"含氢溴氟烃（HBFCs）的混合物"	,2022	,09	,"千克"	,?	,"?"	,
38271300	,"含四氯化碳的混合物"	,2022	,09	,"千克"	,?	,"?"	,
38271400	,"含1，1，1-三氯乙烷（甲基氯仿）的混合物"	,2022	,09	,"千克"	,?	,"?"	,
38272000	,"含溴氯二氟甲烷、溴三氟甲烷等的混合物"	,2022	,09	,"千克"	,?	,"?"	,
38273100	,"含子目2903.41至2903.48所列物质的混合物"	,2022	,09	,"千克"	,?	,"?"	,
38273200	,"含子目2903.71至2903.75所列物质的其他混合物"	,2022	,09	,"千克"	,?	,"?"	,
38273900	,"其他含氢氯氟烃（HCFCs）的混合物，不论是否含全氟烃（PFCs）或氢氟烃（HFCs），但不含全氯氟烃（CFCs）"	,2022	,09	,"千克"	,?	,"?"	,
38274000	,"含溴化甲烷（甲基溴）或溴氯甲烷的混合物"	,2022	,09	,"千克"	,?	,"?"	,
38275100	,"含三氟甲烷（HFC23）的混合物"	,2022	,09	,"千克"	,?	,"?"	,
38275900	,"含全氟烃（PFCs）的混合物"	,2022	,09	,"千克"	,?	,"?"	,
38276100	,"按重量计含15%及以上1,1,1三氟乙烷（HFC143a）的其他混合物"	,2022	,09	,"千克"	,?	,"?"	,
38276200	,"不归入上述子目的其他混合物，按重量计含55%及以上五氟乙烷（HFC-125），但不含无环烃的不饱和氟化衍生物（HFOs）"	,2022	,09	,"千克"	,?	,"?"	,
38276300	,"不归入上述子目的其他混合物，按重量计含40%及以上五氟乙烷（HFC-125）"	,2022	,09	,"千克"	,?	,"?"	,
38276400	,"不归入上述子目的其他混合物，按重量计含30%及以上1,1,1,2-四氟乙烷（HFC-134a），但不含无环烃的不饱和氟化衍生物（HFOs）"	,2022	,09	,"千克"	,?	,"?"	,
38276500	,"不归入上述子目的其他混合物，按重量计含20%及以上二氟甲烷（HFC-32）和20%及以上五氟乙烷（HFC-125）"	,2022	,09	,"千克"	,?	,"?"	,
38276800	,"不归入上述子目的其他混合物，含子目2903.41至2903.48所列物质"	,2022	,09	,"千克"	,?	,"?"	,
38276900	,"未列名含氢氟烃（HFCs），但不含全氯氟烃（CFCs）或氢氯氟烃（HCFCs）的混合物"	,2022	,09	,"千克"	,?	,"?"	,
38279000	,"其他含甲烷、乙烷或丙烷的卤化衍生物混合物"	,2022	,09	,"千克"	,?	,"?"	,
39011000	,"初级形状的聚乙烯，比重＜0.94"	,2022	,09	,"千克"	,?	,"?"	,
39012000	,"初级形状的聚乙烯，比重≥0.94"	,2022	,09	,"千克"	,?	,"?"	,
39013000	,"初级形状的乙烯-乙酸乙烯酯共聚物"	,2022	,09	,"千克"	,?	,"?"	,
39014010	,"初级形状的乙烯-丙烯共聚物（乙丙橡胶），比重＜0.94"	,2022	,09	,"千克"	,?	,"?"	,
39014020	,"初级形状的线型低密度聚乙烯，比重＜0.94"	,2022	,09	,"千克"	,?	,"?"	,
39014090	,"其他初级形状的乙烯-α-烯烃共聚物，比重＜0.94"	,2022	,09	,"千克"	,?	,"?"	,
39019010	,"其他初级形状的乙烯-丙烯共聚物（乙丙橡胶）"	,2022	,09	,"千克"	,?	,"?"	,
39019090	,"未列名初级形状的乙烯聚合物"	,2022	,09	,"千克"	,?	,"?"	,
39021000	,"初级形状的聚丙烯"	,2022	,09	,"千克"	,?	,"?"	,
39022000	,"初级形状的聚异丁烯"	,2022	,09	,"千克"	,?	,"?"	,
39023010	,"初级形状的乙烯-丙烯共聚物（乙丙橡胶）"	,2022	,09	,"千克"	,?	,"?"	,
39023090	,"其他初级形状的丙烯共聚物"	,2022	,09	,"千克"	,?	,"?"	,
39029000	,"其他初级形状的烯烃聚合物"	,2022	,09	,"千克"	,?	,"?"	,
39031100	,"初级形状的可发性聚苯乙烯"	,2022	,09	,"千克"	,?	,"?"	,
39031910	,"改性的初级形状的聚苯乙烯"	,2022	,09	,"千克"	,?	,"?"	,
39031990	,"其他初级形状的聚苯乙烯"	,2022	,09	,"千克"	,?	,"?"	,
39032000	,"初级形状的苯乙烯-丙烯腈（SAN）共聚物"	,2022	,09	,"千克"	,?	,"?"	,
39033010	,"改性初级形状的丙烯腈-丁二烯-苯乙烯（ABS）共聚物"	,2022	,09	,"千克"	,?	,"?"	,
39033090	,"其他初级形状的丙烯腈-丁二烯-苯乙烯（ABS）共聚物"	,2022	,09	,"千克"	,?	,"?"	,
39039000	,"其他初级形状的苯乙烯聚合物"	,2022	,09	,"千克"	,?	,"?"	,
39041010	,"初级形状的糊树脂"	,2022	,09	,"千克"	,?	,"?"	,
39041090	,"其他初级形状的聚氯乙烯，未掺其他物质"	,2022	,09	,"千克"	,?	,"?"	,
39042100	,"初级形状的未塑化聚氯乙烯"	,2022	,09	,"千克"	,?	,"?"	,
39042200	,"初级形状的已塑化聚氯乙烯"	,2022	,09	,"千克"	,?	,"?"	,
39043000	,"初级形状的氯乙烯-乙酸乙烯酯共聚物"	,2022	,09	,"千克"	,?	,"?"	,
39044000	,"其他初级形状的氯乙烯共聚物"	,2022	,09	,"千克"	,?	,"?"	,
39045000	,"初级形状的偏二氯乙烯聚合物"	,2022	,09	,"千克"	,?	,"?"	,
39046100	,"初级形状的聚四氟乙烯"	,2022	,09	,"千克"	,?	,"?"	,
39046900	,"其他初级形状的氟聚合物"	,2022	,09	,"千克"	,?	,"?"	,
39049000	,"其他初级形状的氯乙烯或其他卤化烯烃聚合物"	,2022	,09	,"千克"	,?	,"?"	,
39051200	,"聚乙酸乙烯酯水分散体"	,2022	,09	,"千克"	,?	,"?"	,
39051900	,"其他初级形状的聚乙酸乙烯酯"	,2022	,09	,"千克"	,?	,"?"	,
39052100	,"乙酸乙烯酯共聚物的水分散体"	,2022	,09	,"千克"	,?	,"?"	,
39052900	,"其他初级形状的乙酸乙烯酯共聚物"	,2022	,09	,"千克"	,?	,"?"	,
39053000	,"初级形状的聚乙烯醇"	,2022	,09	,"千克"	,?	,"?"	,
39059100	,"其他初级形状的乙烯酯共聚物和乙烯基共聚物"	,2022	,09	,"千克"	,?	,"?"	,
39059900	,"未列名初级形状乙烯酯聚合物和乙烯基聚合物"	,2022	,09	,"千克"	,?	,"?"	,
39061000	,"初级形状的聚甲基丙烯酸甲酯"	,2022	,09	,"千克"	,?	,"?"	,
39069010	,"初级形状的聚丙烯酰胺"	,2022	,09	,"千克"	,?	,"?"	,
39069020	,"初级形状的丙烯酸-丙烯酸钠交联共聚物"	,2022	,09	,"千克"	,?	,"?"	,
39069090	,"其他初级形状的丙烯酸聚合物"	,2022	,09	,"千克"	,?	,"?"	,
39071010	,"初级形状的聚甲醛"	,2022	,09	,"千克"	,?	,"?"	,
39071090	,"其他初级形状的聚缩醛"	,2022	,09	,"千克"	,?	,"?"	,
39072100	,"初级形状的双（聚氧乙烯）甲基膦酸酯"	,2022	,09	,"千克"	,?	,"?"	,
39072910	,"初级形状的聚四亚甲基醚二醇"	,2022	,09	,"千克"	,?	,"?"	,
39072990	,"初级形状的其他聚醚"	,2022	,09	,"千克"	,?	,"?"	,
39073000	,"初级形状的环氧树脂"	,2022	,09	,"千克"	,?	,"?"	,
39074000	,"初级形状的聚碳酸酯"	,2022	,09	,"千克"	,?	,"?"	,
39075000	,"初级形状的醇酸树脂"	,2022	,09	,"千克"	,?	,"?"	,
39076110	,"粘数≥78毫升/克的聚对苯二甲酸乙二酯切片"	,2022	,09	,"千克"	,?	,"?"	,
39076190	,"其他初级形状的粘数≥78毫升/克的聚对苯二甲酸乙二酯"	,2022	,09	,"千克"	,?	,"?"	,
39076910	,"粘数＜78毫升/克的聚对苯二甲酸乙二酯切片"	,2022	,09	,"千克"	,?	,"?"	,
39076990	,"其他初级形状的粘数＜78毫升/克的聚对苯二甲酸乙二酯"	,2022	,09	,"千克"	,?	,"?"	,
39077000	,"初级形状的聚乳酸"	,2022	,09	,"千克"	,?	,"?"	,
39079100	,"初级形状的不饱和聚酯"	,2022	,09	,"千克"	,?	,"?"	,
39079910	,"其他初级形状的聚对苯二甲酸丁二酯"	,2022	,09	,"千克"	,?	,"?"	,
39079991	,"初级形状的聚对苯二甲酸-己二醇-丁二醇酯"	,2022	,09	,"千克"	,?	,"?"	,
39079999	,"未列名初级形状的聚酯"	,2022	,09	,"千克"	,?	,"?"	,
39081011	,"聚酰胺-6，6的切片"	,2022	,09	,"千克"	,?	,"?"	,
39081012	,"聚酰胺-6的切片"	,2022	,09	,"千克"	,?	,"?"	,
39081019	,"聚酰胺-11、-12、-6，9、-6，10或-6，12的切片"	,2022	,09	,"千克"	,?	,"?"	,
39081090	,"其他初级形状聚酰胺-6、-11、-12、-6，6、-6，9、-6，10或-6，12"	,2022	,09	,"千克"	,?	,"?"	,
39089010	,"初级形状的芳香族聚酰胺及其共聚物"	,2022	,09	,"千克"	,?	,"?"	,
39089020	,"初级形状的半芳香族聚酰胺及其共聚物"	,2022	,09	,"千克"	,?	,"?"	,
39089090	,"未列名初级形状的聚酰胺"	,2022	,09	,"千克"	,?	,"?"	,
39091000	,"初级形状的尿素树脂和硫尿树脂"	,2022	,09	,"千克"	,?	,"?"	,
39092000	,"初级形状的蜜胺树脂"	,2022	,09	,"千克"	,?	,"?"	,
39093100	,"初级形状的聚（亚甲基苯基异氰酸酯）（粗MDI、聚合MDI）"	,2022	,09	,"千克"	,?	,"?"	,
39093900	,"其他初级形状的氨基树脂"	,2022	,09	,"千克"	,?	,"?"	,
39094000	,"初级形状的酚醛树脂"	,2022	,09	,"千克"	,?	,"?"	,
39095000	,"初级形状的聚氨基甲酸酯"	,2022	,09	,"千克"	,?	,"?"	,
39100000	,"初级形状的聚硅氧烷"	,2022	,09	,"千克"	,?	,"?"	,
39111000	,"初级形状的石油树脂、苯并呋喃树脂等"	,2022	,09	,"千克"	,?	,"?"	,
39112000	,"初级形状的聚（1,3-亚苯基甲基膦酸酯）"	,2022	,09	,"千克"	,?	,"?"	,
39119000	,"初级形状多硫化物、聚砜及章注3所规定产品"	,2022	,09	,"千克"	,?	,"?"	,
39121100	,"初级形状的未塑化醋酸纤维素"	,2022	,09	,"千克"	,?	,"?"	,
39121200	,"初级形状的已塑化醋酸纤维素"	,2022	,09	,"千克"	,?	,"?"	,
39122000	,"初级形状的硝酸纤维素（包括棉胶）"	,2022	,09	,"千克"	,?	,"?"	,
39123100	,"初级形状的羧甲基纤维素及其盐"	,2022	,09	,"千克"	,?	,"?"	,
39123900	,"初级形状的纤维素醚"	,2022	,09	,"千克"	,?	,"?"	,
39129000	,"未列名初级形状的纤维素及其化学衍生物"	,2022	,09	,"千克"	,?	,"?"	,
39131000	,"初级形状的藻酸及其盐和酯"	,2022	,09	,"千克"	,?	,"?"	,
39139000	,"其他初级形状的天然聚合物及改性天然聚合物"	,2022	,09	,"千克"	,?	,"?"	,
39140000	,"以品目3901至3913的聚合物为基本成分的初级形状离子交换剂"	,2022	,09	,"千克"	,?	,"?"	,
39151000	,"乙烯聚合物的废料、下脚料及碎料"	,2022	,09	,"千克"	,?	,"?"	,
39152000	,"苯乙烯聚合物的废料、下脚料及碎料"	,2022	,09	,"千克"	,?	,"?"	,
39153000	,"氯乙烯聚合物的废料、下脚料及碎料"	,2022	,09	,"千克"	,?	,"?"	,
39159010	,"聚对苯二甲酸乙二酯的废料、下脚料及碎料"	,2022	,09	,"千克"	,?	,"?"	,
39159090	,"其他塑料的废料、下脚料及碎料"	,2022	,09	,"千克"	,?	,"?"	,
39161000	,"乙烯聚合物单丝（截面直径＞1mm）、条、杆等"	,2022	,09	,"千克"	,?	,"?"	,
39162010	,"氯乙烯聚合物制异型材"	,2022	,09	,"千克"	,?	,"?"	,
39162090	,"其他氯乙烯聚合物单丝（截面直径＞1mm）、条、杆等"	,2022	,09	,"千克"	,?	,"?"	,
39169010	,"聚酰胺制的单丝（截面直径＞1mm）、条、杆等"	,2022	,09	,"千克"	,?	,"?"	,
39169090	,"未列名塑料单丝（截面直径＞1mm）、条、杆等"	,2022	,09	,"千克"	,?	,"?"	,
39171000	,"硬化蛋白或纤维素材料制人造肠衣（香肠用）"	,2022	,09	,"千克"	,?	,"?"	,
39172100	,"乙烯聚合物制硬管"	,2022	,09	,"千克"	,?	,"?"	,
39172200	,"丙烯聚合物制硬管"	,2022	,09	,"千克"	,?	,"?"	,
39172300	,"氯乙烯聚合物制硬管"	,2022	,09	,"千克"	,?	,"?"	,
39172900	,"其他塑料制硬管"	,2022	,09	,"千克"	,?	,"?"	,
39173100	,"塑料制的软管，最小爆破压力为27.6兆帕斯卡"	,2022	,09	,"千克"	,?	,"?"	,
39173200	,"塑料制的其他未装有附件的管子"	,2022	,09	,"千克"	,?	,"?"	,
39173300	,"塑料制的其他装有附件的管子"	,2022	,09	,"千克"	,?	,"?"	,
39173900	,"未列名塑料管"	,2022	,09	,"千克"	,?	,"?"	,
39174000	,"塑料制的管子附件"	,2022	,09	,"千克"	,?	,"?"	,
39181010	,"氯乙烯聚合物制糊墙品"	,2022	,09	,"千克"	,?	,"?"	,
39181090	,"氯乙烯聚合物制铺地制品"	,2022	,09	,"千克"	,?	,"?"	,
39189010	,"其他塑料制糊墙品"	,2022	,09	,"千克"	,?	,"?"	,
39189090	,"其他塑料制铺地制品"	,2022	,09	,"千克"	,?	,"?"	,
39191010	,"宽≤20cm丙烯酸聚合物成卷胶粘板、片、膜等"	,2022	,09	,"千克"	,?	,"?"	,
39191091	,"宽≤20cm的成卷胶囊型反光膜"	,2022	,09	,"千克"	,?	,"?"	,
39191099	,"其他宽≤20cm成卷塑料胶粘板、片、膜、箔等"	,2022	,09	,"千克"	,?	,"?"	,
39199010	,"胶囊型反光膜"	,2022	,09	,"千克"	,?	,"?"	,
39199090	,"未列名塑料胶粘板、片、膜、箔等"	,2022	,09	,"千克"	,?	,"?"	,
39201010	,"乙烯聚合物制电池隔膜"	,2022	,09	,"千克"	,?	,"?"	,
39201090	,"其他乙烯聚合物非泡沫塑料板、片、膜、箔等"	,2022	,09	,"千克"	,?	,"?"	,
